iter	RMSE
283	64386.58254
284	64383.29926
285	64377.78266
286	64370.41004
287	64365.45724
288	64357.03715
289	64347.91167
290	64338.88814
291	64330.95765
292	64326.71811
293	64322.791
294	64314.37848
295	64309.2951
296	64301.29175
297	64298.16043
298	64290.15539
299	64283.05192
300	64278.06891
301	64272.92992
302	64269.09169
303	64264.67581
304	64260.81363
305	64255.4729
306	64247.96629
307	64242.79137
308	64233.40159
309	64225.91958
310	64220.37538
311	64213.62162
312	64210.09567
313	64202.18685
314	64191.38543
315	64186.89656
316	64177.24716
317	64169.7839
318	64162.74658
319	64157.31434
320	64151.5401
321	64140.98772
322	64136.98009
323	64125.71539
324	64120.80728
325	64111.62976
326	64108.08016
327	64104.36346
328	64097.50381
329	64093.47426
330	64087.93837
331	64085.56899
332	64080.21015
333	64075.12911
334	64068.60201
335	64068.46876
336	64062.79171
337	64052.49845
338	64047.45401
339	64042.73115
340	64039.37299
341	64035.11113
342	64031.29245
343	64030.29797
344	64025.52731
345	64017.06294
346	64012.80609
347	64007.16899
348	64004.65514
349	63999.71293
350	63993.35064
351	63992.80299
352	63985.38204
353	63976.45498
354	63970.36909
355	63963.83791
356	63961.5326
357	63960.9101
358	63948.99068
359	63943.27309
360	63940.32964
361	63937.61964
362	63933.99237
363	63931.25928
364	63925.49567
365	63921.87545
366	63918.68754
367	63917.60479
368	63914.78283
369	63908.31749
370	63902.07104
371	63901.95239
372	63895.85739
373	63889.51325
374	63885.69096
375	63883.90074
376	63879.34962
377	63874.65715
378	63870.88115
379	63866.73592
380	63861.85913
381	63854.69187
382	63851.72156
383	63845.402
384	63842.11381
385	63839.18557
386	63836.30098
387	63830.69468
388	63830.31131
389	63828.95915
390	63822.9055
391	63816.34331
392	63813.24979
393	63807.4826
394	63800.78072
395	63797.22884
396	63793.17746
397	63786.50818
398	63780.64385
399	63774.54199
400	63770.52926
401	63765.69792
402	63763.21114
403	63763.10216
404	63756.98425
405	63753.63355
406	63748.13556
407	63739.2377
408	63736.75103
409	63734.10954
410	63731.33753
411	63726.01476
412	63723.04741
413	63721.67795
414	63714.85842
415	63711.66937
416	63705.49707
417	63698.35834
418	63698.25662
419	63692.82503
420	63690.55904
421	63676.31127
422	63675.35347
423	63671.39339
424	63669.7123
425	63666.0803
426	63664.20718
427	63660.31577
428	63656.46352
429	63656.36094
430	63650.95882
431	63649.60835
432	63643.87647
433	63639.48485
434	63632.44482
435	63625.42898
436	63620.11683
437	63620.01639
438	63605.77643
439	63602.33794
440	63595.8321
441	63590.31549
442	63584.42349
443	63581.50594
444	63578.27993
445	63572.37713
446	63567.59137
447	63563.48297
448	63560.54281
449	63556.43414
450	63553.31196
451	63550.75131
452	63539.25467
453	63539.16369
454	63536.32929
455	63531.80243
456	63525.98707
457	63519.96841
458	63516.43016
459	63511.00912
460	63507.70344
461	63502.8328
462	63499.19302
463	63491.70649
464	63486.95321
465	63483.16352
466	63476.44252
467	63469.52591
468	63462.9915
469	63460.48451
470	63457.99522
471	63455.33695
472	63452.88042
473	63447.70396
474	63443.33117
475	63441.02006
476	63438.68968
477	63433.67042
478	63424.81803
479	63416.51394
480	63408.56774
481	63407.2636
482	63403.12347
483	63399.6752
484	63394.0793
485	63387.09365
486	63381.87601
487	63376.61936
488	63372.21154
489	63371.40021
490	63367.7652
491	63361.56916
492	63354.91325
493	63351.1397
494	63346.0902
495	63344.90783
496	63341.03763
497	63333.65116
498	63327.18888
499	63322.96595
500	63319.87157
501	63316.64372
502	63312.36433
503	63307.34418
504	63303.62148
505	63300.10173
506	63295.0986
507	63295.02148
508	63291.45382
509	63281.14525
510	63280.33103
511	63276.0102
512	63275.05734
513	63274.13319
514	63271.58246
515	63265.55547
516	63255.44694
517	63252.39525
518	63249.73196
519	63247.06926
520	63245.71011
521	63240.71725
522	63235.53647
523	63228.00648
524	63220.28619
525	63214.93244
526	63212.16764
527	63205.28017
528	63202.07581
529	63199.86156
530	63194.42664
531	63194.05233
532	63190.95124
533	63186.65508
534	63180.73264
535	63176.18597
536	63172.73606
537	63167.2469
538	63163.04172
539	63159.3798
540	63154.19459
541	63148.8258
542	63144.06929
543	63135.63965
544	63133.58813
545	63129.20607
546	63120.727
547	63114.52503
548	63111.05082
549	63108.84898
550	63107.18009
551	63104.16632
552	63101.01642
553	63092.77667
554	63081.9134
555	63080.33154
556	63077.0357
557	63074.74801
558	63067.43361
559	63064.06882
560	63058.57192
561	63055.75261
562	63053.07665
563	63049.69948
564	63041.19592
565	63036.52492
566	63033.86818
567	63032.0795
568	63029.22163
569	63020.43698
570	63018.36893
571	63015.15965
572	63010.73098
573	63009.89809
574	63008.54748
575	63004.60327
576	63001.83237
577	62996.818
578	62993.94994
579	62988.30543
580	62983.47294
581	62979.98424
582	62979.89597
583	62977.34791
584	62974.66945
585	62974.25493
586	62974.19615
587	62973.69373
588	62969.36232
589	62963.23137
590	62956.48578
591	62956.40239
592	62949.30571
593	62942.55379
594	62935.99003
595	62933.40423
596	62928.44222
597	62927.15619
598	62922.32763
599	62920.88587
600	62918.50196
601	62911.88052
602	62907.66759
603	62903.07851
604	62902.96766
605	62898.32273
606	62894.62636
607	62893.11858
608	62889.09217
609	62886.18256
610	62882.4773
611	62881.88147
612	62875.57226
613	62865.02764
614	62860.76641
615	62853.71964
616	62850.71554
617	62842.0942
618	62840.72373
619	62834.59195
620	62831.49975
621	62826.72357
622	62816.87903
623	62813.16717
624	62807.24419
625	62805.97224
626	62803.18411
627	62796.53351
628	62794.21519
629	62792.24605
630	62787.30985
631	62781.53959
632	62777.62521
633	62777.06593
634	62774.61008
635	62769.12464
636	62766.44717
637	62765.45085
638	62763.25339
639	62759.80561
640	62757.57949
641	62755.32206
642	62752.29759
643	62751.39715
644	62747.10474
645	62741.10785
646	62740.03646
647	62736.775
648	62730.61157
649	62724.64312
650	62721.89778
651	62716.45593
652	62711.27677
653	62706.55925
654	62703.63885
655	62697.63484
656	62694.30096
657	62689.0698
658	62687.69858
659	62687.4821
660	62681.84069
661	62679.28352
662	62676.99593
663	62670.26728
664	62669.63857
665	62664.96884
666	62659.06764
667	62658.61243
668	62656.7132
669	62652.13286
670	62649.23878
671	62647.9259
672	62644.36698
673	62642.01705
674	62637.50684
675	62631.26793
676	62625.94503
677	62621.68288
678	62616.77253
679	62613.27681
680	62603.0283
681	62601.61458
682	62596.50636
683	62591.95576
684	62589.01936
685	62582.11508
686	62578.10502
687	62575.48877
688	62568.84879
689	62564.10298
690	62563.87224
691	62560.82567
692	62556.04755
693	62549.80432
694	62547.51598
695	62541.70303
696	62538.07661
697	62535.70487
698	62531.90425
699	62528.04745
700	62523.39685
701	62519.36377
702	62513.29823
703	62510.71955
704	62510.45978
705	62506.35028
706	62504.52075
707	62500.1684
708	62497.04501
709	62487.65588
710	62478.21608
711	62471.3844
712	62467.37898
713	62463.08018
714	62456.14525
715	62452.19694
716	62451.99148
717	62449.42102
718	62446.90523
719	62442.24267
720	62439.50338
721	62438.8485
722	62437.78954
723	62434.5459
724	62431.5272
725	62426.83334
726	62423.29217
727	62421.32329
728	62417.87943
729	62414.07626
730	62408.31856
731	62406.12989
732	62402.19167
733	62398.56285
734	62393.2428
735	62391.67511
736	62389.04654
737	62383.04231
738	62380.67148
739	62375.07759
740	62370.22087
741	62364.69627
742	62361.99891
743	62357.51539
744	62353.82168
745	62352.75944
746	62348.75524
747	62345.30573
748	62340.70041
749	62333.34031
750	62332.33251
751	62331.50257
752	62326.56465
753	62323.65392
754	62321.3948
755	62314.85204
756	62311.84851
757	62307.53415
758	62301.78305
759	62301.26476
760	62299.16987
761	62295.84935
762	62292.95772
763	62292.77856
764	62289.39666
765	62281.43645
766	62273.78017
767	62273.28952
768	62269.84727
769	62263.4031
770	62260.958
771	62256.29185
772	62255.73934
773	62252.19046
774	62248.41733
775	62245.33512
776	62244.51482
777	62240.75713
778	62238.04592
779	62232.72949
780	62232.39307
781	62226.16255
782	62222.26272
783	62219.71932
784	62211.60916
785	62209.4073
786	62203.86474
787	62197.59167
788	62190.31044
789	62188.37987
790	62185.97978
791	62185.81717
792	62181.96047
793	62177.86842
794	62173.38242
795	62167.94174
796	62163.95654
797	62154.31061
798	62153.27384
799	62150.56875
800	62149.87417
801	62143.4337
802	62141.36237
803	62139.4638
804	62136.17479
805	62133.19385
806	62133.06462
807	62132.5401
808	62128.71296
809	62124.80002
810	62118.43496
811	62117.26674
812	62116.16952
813	62108.84764
814	62104.89346
815	62101.75922
816	62097.81224
817	62094.01456
818	62092.38556
819	62088.58435
820	62082.18797
821	62076.3471
822	62071.69666
823	62063.52827
824	62057.86738
825	62055.40629
826	62053.57931
827	62049.98328
828	62044.35515
829	62039.93576
830	62035.13416
831	62029.23463
832	62022.7737
833	62019.76771
834	62016.99788
835	62015.24046
836	62010.44904
837	62006.38682
838	62004.98832
839	62002.90052
840	61999.00844
841	61996.2611
842	61994.58778
843	61990.23362
844	61983.45316
845	61979.71632
846	61977.75515
847	61972.69938
848	61970.2621
849	61966.66091
850	61964.71206
851	61960.9464
852	61955.36718
853	61951.85727
854	61948.086
855	61947.23001
856	61944.12072
857	61938.62774
858	61934.376
859	61928.98545
860	61925.98241
861	61925.46778
862	61920.94035
863	61917.69033
